poste,partagee_total_2_eur,partagee_pers_2_eur,partagee_total_3_eur,partagee_pers_3_eur,individuelle_total_2_eur,individuelle_pers_2_eur,individuelle_total_3_eur,individuelle_pers_3_eur
Vol Finnair A/R,2000,1000,3000,1000,2000,1000,3000,1000
Hebergement (19 nuits),1430,715,1880,627,2182,1091,3273,1091
Transport de base,504,252,756,252,504,252,756,252
Activites/visites,474,237,711,237,474,237,711,237
Nourriture (20 jours),1600,800,2400,800,1600,800,2400,800
Divers (eSIM/assurance/souvenirs),600,300,900,300,600,300,900,300
TOTAL,6608,3304,9647,3216,7360,3680,11040,3680
