poste,partagee_total_2_eur,partagee_pers_2_eur,partagee_total_3_eur,partagee_pers_3_eur,individuelle_total_2_eur,individuelle_pers_2_eur,individuelle_total_3_eur,individuelle_pers_3_eur
Vol Finnair A/R,2000,1000,3000,1000,2000,1000,3000,1000
Hebergement (19 nuits),1502,751,1983,661,2218,1109,3327,1109
Transport de base,904,452,1356,452,904,452,1356,452
Activites/visites,472,236,708,236,472,236,708,236
Nourriture (20 jours),1600,800,2400,800,1600,800,2400,800
Divers (eSIM/assurance/souvenirs),600,300,900,300,600,300,900,300
TOTAL,7078,3539,10347,3449,7794,3897,11691,3897
